ich	I
hindern	prevent
Blatt	leaf, page
würdig	worthy; worthily
betteln	beg
eintreffen	arrive; arrival
erleichtert	relieved
Anschlag	assault
mehrmals	repeatedly
ernähren	feed; nurturing
Gleichgewicht	balance
stundenlang	for hours
Pension	pension, guesthouse
stattfinden	occur, take place
Jet	jet
blättern	browse
Premierminister	prime minister
sexuell	sexually; sexual
Tugend	virtue
quälen	torture
empfindlich	sensitive; delicately
demnächst	soon
möglichst	as possible
verklagen	sue
Wurzel	root
Vermittlung	mediation, exchange
schockieren	shock
erholen	recover
Segel	sail
Neugier	curiosity
Komitee	committee
abschneiden	cut off; trimming
Treibstoff	fuel
Jeep	jeep
Liga	league
absagen	cancel, refuse
Mahlzeit	meal
Mittler	mediator
Zwischenzeit	meantime
Klub	club
Same	seed
Erpressung	blackmail
Schwerkraft	gravity
national	national; nationally
Verschwendung	waste
unabhängig	independently; independent
Ehrenwort	word of honor
knöpfen	button
Duell	duel
abschalten	turn off
ausbrechen	break out
Bestimmung	determination, destiny
Pflicht	duty
Herrschaft	rule
vorwerfen	accuse
Masse	mass
befürchten	fear
ersparen	save
ungerecht	unjust; unjustly
büßen	pay for
Gitter	grid
Geste	gesture
spenden	donate
Assistent	assistant
Bräutigam	groom
Komödie	Comedy
Kasino	casino
Kommission	committee
abknallen	shoot (coll)
abgefahren	awesome (coll); worn
Produzent	producer
stillen	breastfeed; breastfeeding
gewaltig	enormous; mightily
Zeitalter	age, period
abschließen	lock, complete
benommen	numb; numbly
Pfote	paw
erzeugen	generate
zerbrechen	break
servieren	serve
kriminell	criminal; criminally
kratzen	scratch
flach	flat, shallow
unsterblich	immortal
Stipendium	scholarship
Wolke	cloud
Rippe	rib
Säufer	drunk (coll)
vergeuden	waste
arbeitslos	unemployed
beseitigen	eliminate
umkehren	reverse
Passwort	password
regelmäßig	regularly; regular
überzeugend	convincingly; convincing
Knabe	boy (CH)
Fahrkarte	ticket
abziehen	remove
ungut	bad, uncomfortable
Schmutz	dirt
unerträglich	unbearable; unbearably
kontaktieren	contact
aufgebracht	upset
verkleiden	disguise, dress up
durchführen	carry out
Begegnung	encounter
klarstellen	clarify
Bezahlung	payment
Herkunft	origin
Stiftung	foundation
Kenntnis	knowledge
elegant	elegant; stylishly
verursachen	cause severe.
Jazz	jazz
eiskalt	freezing
bezaubernd	charming; charmingly
hinrichten	execute
Tuch	cloth
leuchten	glow
Salon	salon
aufhängen	hang
Abzug	trigger
vertraulich	confidential; confidentially
Wald	forest
Mumie	mummy
Logik	logic
Kurve	bend, curve
erfassen	capture; conception
anstelle	instead of
Schwung	momentum
Pressekonferenz	press conference
Zoll	customs, inch
zart	tender, tenderly
Division	division
ausprobieren	try (out)
aufeinander	on each other
eindringen	invade; intrusion
final	final
starr	rigid, rigidly
Vortrag	lecture
Becher	cup
verhören	interrogate, mishear
unendlich	infinitely; infinite
außergewöhnlich	exceptional; exceptionally
abreisen	depart
basieren	be based
ringen	wrestle, struggle
leugnen	deny, denial
Techniker	technician
sinken	sink
Glückspilz	lucky guy (coll)
Lebensmittel	food
Flut	flood, high tide
ängstlich	scared; fearfully
einatmen	inhale; inhaling
anschließen	connect
Effekt	effect
Peitsche	whip
Abreise	departure
jammern	complain
evakuieren	evacuate
vereinbart	agreed, appointed
überwinden	overcome
Abkürzung	abbreviation, shortcut
Kampagne	campaign
Beileid	condolence
herhören	pay attention
modeln	model (coll); modeling
Kommunikation	communication
geloben	vow
nachmittags	in the afternoon
Kapelle	chapel, band
Artillerie	artillery
Aufruhr	turmoil
produzieren	produce
Irak	Iraq
unerwartet	unexpectedly; unexpected
Juwel	jewel
Profit	profit
wiederhaben	have back
mittlerweile	meanwhile
gefährdet	endangered, vulnerable
Schrift	font, writing
Bewohner	resident
Stadion	stadium
knurren	growl
beneiden	envy
mitspielen	play along
kürzen	shorten
beichten	confess
stumm	mute; mutely
zuliebe	for sake
abgelaufen	expired, up
verbreitet	common
amüsant	amusing; amusingly
merkwürdig	peculiar; extraordinarily
Privatsphäre	privacy
verständlich	understandable; understandably
speziell	specifically; special
Hinterhalt	ambush
technisch	technically; technical
südlich	south; to the south of
Nutte	whore (coll)
hinzu	in addition
Ausgabe	edition
Horizont	horizon
Formel	formula
verschaffen	give
Siegel	seal
Illusion	illusion
anstrengend	exhausting
hacken	chop; job (AT)
einschließlich	including; inclusively
Russe	Russian
nachkommen	fulfill, comply with
Poesie	poetry
bescheiden	modest; modestly
Soße	sauce
langweilen	bore; get bored
zögern	hesitate; hesitation
unterzeichnen	sign
anbringen	apply
entsprechend	according to; corresponding
aufgelöst	upset
Birne	pear, bulb
Stützpunkt	base
Erfüllung	fulfillment
auflösen	dissolve, resolve
Anwesen	estate
erbärmlich	pathetic; pitifully
wertlos	worthless; worthlessly
kleiden	dress
Schwindler	fraud
schwingen	swing
angemessen	appropriate; suitably
zutiefst	deeply
Anzug	suit
gemäß	according to; appropriate
Fotograf	photographer
einbrechen	break in
heil	unhurt; salvation
männlich	male, masculine
Attentäter	assassin
Single	single; single record; (tennis) single
seither	since then
zerreißen	tear (up)
sorgfältig	careful; meticulously
verweigern	refuse
Sequenz	sequence
durchkommen	come through
tragisch	tragic; tragically
unverzüglich	prompt; promptly
schalten	switch
zueinander	to each other
entwerfen	design
gedenken	commemorate, commemoration
Video	video
Nagel	nail
Morgengrauen	dawn
ursprünglich	originally; original
Arena	arena
Parade	parade
Chor	choir
Südamerika	South America
dreißig	thirty
auswendig	by heart
Fingerabdruck	fingerprint
Vereinbarung	agreement
Abkommen	agreement, deviate
Durchsuchungsbefehl	(search) warrant
zugleich	at the same time
Überwachung	supervision
emotional	emotional; emotionally
fünfzig	fifty
misstrauisch	warily; wary
auslöschen	extinguish; extinction
Rahmen	frame
Streichholz	match(stick)
Tresor	safe
anstehen	stand in line
Zeitmaschine	time machine
Zusammenarbeit	cooperation
besagen	indicate
gesammelt	collected, collective
Hörer	receiver, listener
teilnehmen	participate
Käufer	buyer
Eichhörnchen	squirrel
intensiv	intense; intensely
automatisch	automatically; automatic
behindert	disabled
entsetzlich	terrible; terribly
Retter	savior
Limonade	lemonade
gebildet	cultured, produced
Anker	anchor
paranoid	paranoid
Bestätigung	confirmation
infizieren	infect
Sicherheitsdienst	security
Diagnose	diagnosis
Wirt	host, landlord
ausführen	implement; performing
beraten	advise; consult
nördlich	north
lahm	lame; lamely
Plastik	plastic, sculpture
angewiesen	dependent
Picknick	picnic
überraschend	surprising; surprisingly
Lamm	lamb
erraten	guess
aufschreiben	write down
Hintertür	back door
verstorben	deceased
Tomate	tomato
investieren	invest
Übertragung	transmitting
Zeichnung	drawing
Bildung	education, formation
Spaghetti	spaghetti
Volltreffer	bull's eye
freilassen	set free
quasi	practically
einmischen	blend into, interfere
Fach	subject, compartment
Anfänger	beginner
Geige	violin
Christ	Christian
Nonne	nun
boomen	boom
Band	band; ribbon; volume
Priorität	priority
(he)rausschmeißen	throw out
Truhe	chest
Erziehung	education, upbringing
Lagerhaus	warehouse
zuschlagen	slam, strike
verfehlt	inappropriate, missed
Wanne	bathtub
Ameise	ant
verletzt	injured
aktivieren	activate
stehenbleiben	stop
verreisen	travel
Notruf	distress call
meinerseits	for my part
Herzschlag	heartbeat
Rucksack	backpack
hiermit	hereby
Wal	whale
munter	cheerful; cheerfully
Vorrat	supply
Fälschung	forgery
reinigen	clean
Feld	field
militärisch	military
hierfür	for this
erstaunt	amazed; in amazement
Bestellung	order
Feierabend	quitting time
prächtig	splendid; magnificently
anheuern	hire (coll)
anderthalb	one and a half
allergisch	allergic; allergically
außerirdisch	alien
Dinosaurier	dinosaur
(he)rauswerfen	throw out
erschlagen	slay; slayed
Passagier	passenger
Sackgasse	dead end
scheitern	fail; failure
Patron	patron
quer	crosswise
sichtbar	visible; visibly
lähmen	paralyze
ablenken	distract
anzünden	light
kooperieren	cooperate
bereithalten	stand by
allmächtig	almighty; almightily
Routine	routine
geradezu	almost
zurückholen	retrieve
Exemplar	specimen
Welpe	puppy
abstellen	park, turn off
Organ	organ
süchtig	addicted
Ballon	balloon
zumachen	close (coll)
Munition	ammunition
Massaker	massacre
rauben	rob
Stier	bull
Apotheke	pharmacy
Laken	sheets; linen
sentimental	sentimental
vertraut	familiar; intimately
Busen	bosom
überstehen	survive
aggressiv	aggressive; aggressively
fünfzehn	fifteen
Niere	kidney
schwitzen	sweat
Beutel	bag
Materie	matter, substance
wegwerfen	throw away
jeglicher	every (fml)
foltern	torture
unfassbar	incomprehensible; incomprehensibly
umgehend	immediately; immediate
faszinieren	fascinate
drängen	pressure
Zauberei	magic
beschaffen	procure; constituted
hinterlassen	leave (behind)
stur	stubborn; obstinately
Mexiko	Mexico
verschonen	spare
Klima	climate
gewähren	grant
Panama	Panama; panama hat
Alter	age; dude (coll)
Berufung	vocation, appeal
Leder	leather
verängstigen	frighten
Scheißdreck	shit (coll)
Tumor	tumor
fortfahren	proceed
voneinander	on each other
Distanz	distance
geistig	mentally; spiritual
fürchterlich	terrible; terribly
Annahme	adoption, assumption
unauffällig	inconspicuous; unobtrusively
Jahreszeit	season
fällig	due
hindurch	through
Vizepräsident	vicepresident
wiederum	in turn, again
ehemalig	former
hold	lovely, fair (fml)
Badewanne	bathtub
verstoßen	contravene; outcast
Reinigung	cleaning
derzeit	currently
Kai	quay
edel	noble; nobly
Untergang	downfall
erforschen	explore
anvertrauen	entrust
absetzen	drop (off), sell
Limousine	limousine
Maßnahme	measure
durchhalten	hold out
Perle	pearl, bead
zukünftig	future; in future
Hingabe	devotion
gewalttätig	violent
verknallen	have a crush (coll)
körperlich	physically; physical
Wrack	wreck, wrecked
meiden	avoid
entwischen	escape
Poker	poker
verwundet	wounded
kauen	chew
Schlacht	battle
Summer	buzzer
Quittung	receipt
wesentlich	essential; considerably
Vase	vase
Weibchen	female
Weltraum	space
pink	pink
schlachten	slaughter
Akademie	academy
Bass	bass
letztens	the other day
blass	pale
bange	anxious
Hebel	lever
auftreiben	find (coll), raise
verleihen	lend
mittags	at noon
Orchester	orchestra
strahlen	shine
nahen	approach
liebend	loving; lovingly
Verwirrung	confusion,
Päckchen	parcel
Bedürfnis	need
fünfter	fifth
gruselig	creepy; creepily
Konzentration	concentration
dringen	insist, penetrate
Argument	argument
jüdisch	Jewish
Taxifahrer	taxi driver
Abwechslung	variety, change
sodass	so that
zurücktreten	step back
Bandit	bandit
Bewährung	parole
Sprichwort	proverb, saying
Schale	bowl, shell
mitgehen	go with
Aufseher	warden
zischen	hiss
fortsetzen	continue
unfähig	unable
wodurch	how
Autopsie	autopsy
Afghanistan	Afghanistan
markieren	mark
anfahren	approach, hit
arrogant	arrogant; arrogantly
bereden	talk about
Wachtmeister	sergeant (AT)
gefährden	endanger
sehnen	crave; yearning
Kaviar	caviar
lehnen	lean
Motto	slogan
vorübergehend	temporarily; temporary
Nickerchen	nap
Becken	basin; pelvis
Sahne	cream
einschalten	turn on
Überstunde	overtime
Adel	nobility
Flüssigkeit	liquid
zwo	two (coll)
Kreuzung	crossing
vorgestern	the day before yesterday
immerzu	always
verführen	seduce
Zauberer	wizard
Mühle	mill, grinder
Vorschlag	proposal
Umkreis	perimeter
drittens	thirdly
Sattel	saddle
Vorname	first name
ermitteln	determine
widmen	devote
Indianer	American Indian
Solo	solo
Zwischenfall	incident
entzückend	delightful; delightfully
ersticken	suffocate
gebieten	demand (fml)
Wurst	sausage
anhaben	wear
Auswirkung	impact
verwechseln	confuse
Inhalt	content
registrieren	register
Lieferwagen	van
Truthahn	turkey
Maulwurf	mole
programmieren	program
Ader	vein
Beleidigung	insult
wegfahren	drive away
Unterkunft	accommodation
Matratze	mattress
Schal	scarf, stale
hochgehen	go up; explode
Gipfel	summit
lecken	lick
grinsen	grin
Grube	pit
Sack	bag
Quartier	quarters, district
Schweizer	Swiss
einrichten	set up
Harmonie	harmony
vornehm	distinguished; nobly
vorsehen	plan
Komiker	comedian
wehen	blow
beugen	bend
Uhrzeit	time (of day)
Patrouille	patrol
winzig	tiny
Türklingel	doorbell
missbrauchen	abuse
Korrektur	correction
gestalten	shape
theoretisch	theoretically; theoretical
Beruhigungsmittel	sedative
geduldig	patient; patiently
wider	against
trösten	console
Flanke	flank
Ratschlag	advice
pflegen	maintain, nurse
streben	strive
Seide	silk
Geschäftsführer	managing director
lebenslänglich	lifelong; for life
Dosis	dose
göttlich	divine; divinely
manipulieren	manipulate
Galerie	gallery
Zwiebel	onion
hinbringen	bring
Umgang	handling
bedrücken	depress
Umarmung	hug
Prostituierte	prostitute
Schimmer	gleam, idea (coll)
gefällig	pleasing; accommodatingly
Wachmann	security guard
(he)rumlaufen	walk around
auffinden	find
Schlaganfall	stroke
schmerzhaft	painfully; painful
gottverdammt	goddamn (coll)
Bildschirm	screen
Schnurrbart	mustache
kindisch	childish; childishly
pusten	blow (coll)
prostituieren	prostitute
umzingeln	surround
Gorilla	gorilla
gleichgültig	indifferent; nonchalantly
unverschämt	outrageous; outrageously
ausgefallen	fancy
stopfen	plug
abscheulich	hideous; hideously
Puste	puff (coll)
ducken	duck, humiliate
Auszeichnung	award
kommunizieren	communicate
Stückchen	(small) piece
anordnen	arrange
Phantom	ghost
zugreifen	access
Qual	torment
Gier	greed
Verfolgung	persecution
zusammenhalten	stick together
Visier	visor
enorm	enormous; enormously
Premiere	premiere
Vorwand	excuse
Geschöpf	creature
Hospital	hospital
ungeduldig	impatient; eagerly
verfügbar	available
schütteln	shake
Ausstellung	exhibition
wischen	wipe
geübt	trained, proficient
abreißen	demolish
ausnutzen	exploit
Block	block
Funktion	function
durchknallen	go crazy (coll)
Kaplan	chaplain
Schüssel	bowl
ausleihen	borrow, lend
Verlobung	engagement
Schöpfer	creator
Sonnenlicht	sunlight
Haushalt	household
Cocktail	cocktail
überflüssig	superfluous; gratuitously
Vernichtung	destruction
Hexe	witch
Nord	north
Kreide	chalk
Notaufnahme	emergency room
Magazin	magazine
Vögelchen	birdie
Wildnis	wilderness
Pariser	Parisian
elektrisch	electric; electrically
Galgen	gallows
Pudding	pudding
keinesfalls	by no means
pumpen	pump
schwindeln	cheat
taugen	be good
ausreichend	sufficient; sufficiently
Regenbogen	rainbow
zerschlagen	smash; shattered
Schwindel	fraud
Budget	budget
herab	down
Gegenstand	object
belegt	busy, occupied
Geschwister	siblings
Küstenwache	coast guard
Terrorismus	terrorism
aufwärmen	warm (up)
Ernte	harvest
relativ	relative; relatively
rechtfertigen	justify; clear oneself
Expedition	expedition
daraufhin	thereupon
saufen	booze (coll)
verflixt	darn; confoundedly
Bruch	break
ansprechen	address
murmeln	murmur
Überzeugung	conviction
Änderung	change
Durchbruch	breakthrough
Bestrafung	punishment
durstig	thirsty; thirstily
verkünden	announce
bemerkenswert	remarkably; remarkable
schweben	float
allgemein	generally; general
Märtyrer	martyr
Pullover	sweater
reiben	rub
Hotelzimmer	hotel room
eitern	fester
flehen	plead
Formular	form
Profil	profile
Wechselgeld	change
dahinten	back there
aufziehen	raise, draw up
Wange	cheek
Gruß	greeting
Lift	lift
unbewaffnet	unarmed
lenken	direct
Examen	exam
anhängen	attach
Resultat	result
Träger	carrier
Taktik	tactic
Mais	corn
inklusive	including; inclusively
inwiefern	how
Terror	terror
krass	crass; crassly
darstellen	represent
träge	sluggish; sluggishly
gutmachen	atone, make right
loslegen	get going (coll)
niedrig	low; lowly
Klassiker	classic
Vorbereitung	preparation
Geschirr	dishes
sichten	sight
fortgehen	leave
Sekretär	secretary
restlich	remaining
Drohung	threat
Bund	association, bunch
Erleichterung	relief
Befragung	survey
angeben	specify
(he)rauslassen	let out
Anrufbeantworter	answering machine
Mitbewohner	roommate
Fakt	fact
verschlucken	swallow
Rand	edge
einschlagen	strike
Schlucht	ravine
überschnappen	go nuts (coll)
Kavallerie	cavalry
bedauerlich	regrettable, unfortunately
Putzfrau	cleaning lady
sensibel	sensitive, sensitively
kneten	knead
gleichfalls	also
benennen	designate
Bengel	rascal (coll)
Schwimmer	swimmer
Pier	jetty
Exil	exile
wimmern	whimper; whimpering
Ironie	irony
Karate	karate
Entlassung	dismissal
Haftbefehl	warrant
Senior	senior
Reservierung	reservation
Berührung	touching
verwirrend	confusing
Trupp	squad
ächzen	grunt; grunting
Überrest	remains
Granate	grenade
Chirurg	surgeon
ansagen	announce; announcement
Zeugenstand	(witness) stand
untergehen	go down
Garantie	guarantee
zukommen	get; befit
nachfragen	ask
Befreiung	liberation
inspirieren	inspire
huch	yikes
Orgasmus	orgasm
aufsetzen	put on, set up; sit down
samt	including; velvet
Maß	measure; mass
Nachfrage	demand
abdrücken	shoot
Anflug	approach, hint
versenken	sink; immerse
Gans	goose
erpressen	blackmail
gewagt	daring, daringly
Dämmerung	dawn
Durchsage	announcement
Drittel	third
Kondom	condom
zurückhalten	hold back
Beschützer	protector
feindlich	hostile, adversely
berauben	rob
erstatten	refund
wegtreten	be dismissed, step away
Sprit	gas (coll), booze (coll)
durchschauen	see through
Gastgeber	host
sofern	provided
gierig	greedy; greedily
Beobachtung	observation
ermöglichen	enable
zudem	moreover
Luder	slut (coll)
Arrest	detention
Gespenst	ghost
vollbringen	accomplish
Erkältung	cold
Metro	metro
Alliierter	ally
Mythos	myth
Inspiration	inspiration
bedacht	careful; carefully; deliberation
Schleier	veil, shroud
Eule	owl
Mitteilung	communication, message
Reserve	reserve
Graf	count, graph
töricht	foolish; foolishly
Entwurf	draft
Austausch	exchange
abfahren	leave
Langeweile	boredom
beziehen	obtain, refer
Empfehlung	recommendation
inmitten	amid
Klatsch	gossip
magisch	magical, magically
Wahl	choice, election
Mieter	renter
Gärtner	gardener
abhängen	depend, hang out (coll)
Abschlussball	prom
klatschen	gossip
Unterhose	underpants
schleppen	drag
Privileg	privilege
anmachen	turn on, hit on (coll)
Verpflichtung	commitment, obligation
Nachname	last name
angespannt	tense; tensely
günstig	favorable, cheap; favorably
streicheln	stroke
deuten	indicate
erwecken	arouse
weigern	refuse
Schleppe	train
Kaliber	caliber
realistisch	realistic, realistically
aneinander	together
genehmigen	approve
Pulver	powder
Hummer	lobster
verdecken	cover, hide
unterschiedlich	different; differently
finanzieren	finance
sozial	social; socially
Design	design
wahrlich	truly
wahrhaftig	true; truly
vergeblich	vain; in vain
Aufruf	appeal
Schreck	scare
Todesstrafe	death penalty
Strenge	rigor
erkälten	catch a cold
zwecklos	futile; uselessly
erleiden	suffer
Heizung	heating
Vermutung	presumption
gleichen	resemble, equal
dergleichen	similar, suchlike
Instrument	instrument
Jackett	jacket
rühren	stir
erschüttern	shake, shatter
(he)rauskriegen	find out (coll)
versterben	die
Aschenbecher	ashtray
Brötchen	bun
Joint	joint
Hülle	case
überbringen	deliver
römisch	Roman
Schaufel	shovel
herauf	up
Wohlstand	prosperity
anderswo	elsewhere
Massage	massage
Bankrott	bankruptcy; bankrupt
hüllen	wrap
aufwecken	wake
außerordentlich	extraordinarily; extraordinary
Dorf	village
Parfum	perfume
rächen	avenge
Verstärkung	reinforcement
überdenken	rethink
vermieten	rent
Brei	pulp
Attacke	attack
Bataillon	battalion
vierzig	forty
abstürzen	crash, fall
baden	bathe
erstechen	stab (to death)
verspäten	delay; be late
Romantik	romance
Brücke	bridge
bedrohen	threaten
Mikrofon	microphone
hereinkommen	come in
loyal	loyal; loyally
Anstalt	institution
Portier	porter
Einwand	objection
Enttäuschung	disappointment
Scheinwerfer	headlight
Gewebe	tissue
Tierarzt	vet
Traurigkeit	sadness
Haustür	front door
erlangen	gain
vorsprechen	audition
Bluse	blouse
Generator	generator
Monitor	monitor
dreizehn	thirteen
Sperma	sperm
hinkriegen	menage (coll)
tagelang	for days, daylong
Tango	tango
Damm	dam
Streik	strike
Bemühung	effort
derart	such
Packung	package
zusätzlich	additionally; additional
einlegen	insert; loading
Erfinder	inventor
exklusiv	exclusive, exclusively
verstärken	strengthen
Hai	shark
Kessel	kettle
scheußlich	hideous; hideously
Todesursache	cause of death
abschießen	shoot down
Großteil	majority
altmodisch	oldfashioned
bevorzugen	prefer
Neger	Negro (coll)
zärtlich	tender; tenderly
Heilmittel	cure
innerlich	internal; internally
dulden	tolerate
verbannen	banish
vollenden	complete
beruhen	be based
aufbewahren	keep
sonntags	on Sundays
professionell	professional, professionally
Korridor	corridor
Demonstration	demonstration
Falte	wrinkle
verständig	understanding; maturely
Telefonzelle	phone booth
Helfer	helper
Eröffnung	opening
unruhig	restless; uneasily
vage	vague; vaguely
Schmetterling	butterfly
bewaffnet	armed
Ekel	disgust; disgusting (coll)
Schicksal	fate
falten	fold
idiotisch	idiotic; idiotically
beerdigen	bury
Ton	tone, clay
Schlamassel	mess (coll)
Männchen	male
Organismus	organism
paaren	pair
Nazi	Nazi
komplex	complex
pervers	perverted; perversely
ausweichen	avoid
anfühlen	touch, feel
schleichen	sneak
Partie	game
Erscheinung	appearance
erwachen	awaken
schmeicheln	flatter
äußere	outer
Feuerwehrmann	firefighter
Besetzung	occupation
anpassen	adjust
Wirbel	vortex, vertebra
Takt	stroke, tact
Häftling	prisoner
herumlaufen	walk around
Herzanfall	heart attack
letztlich	ultimately
Büffel	buffalo
belohnen	reward
Zündung	ignition
Anschluss	connection
Base	base
Schenkel	thigh
Scharfschütze	sniper
Sonnenbrille	sunglasses
auslösen	trigger, release
Obhut	care (fml)
Verwalter	administrator, manager
gerissen	sly (coll)
eingebildet	conceited; smugly
einpacken	wrap, pack
trauern	mourn, grieve
Meisterwerk	masterpiece
Armband	bracelet
Beschwerde	complaint
Hauch	whiff
glücklicherweise	fortunately
finanziell	financially; financial
gönnen	grant; indulge
bewirken	cause
Bekanntschaft	acquaintance
ärgerlich	annoying, angry; irritatingly
(he)reinfallen	fall for (coll)
Pony	bangs; pony
rutschen	slip, slide
Zitat	quote
Amerikaner	American
aufsuchen	see, find
jucken	itch
auserwählen	choose
Ungar	Hungarian
Ermordung	murder
einfangen	capture, get
teilweise	partly
hinreißend	gorgeous; adorably
Bemerkung	remark
tätig	active
Streifenwagen	patrol car
Anordnung	arrangement
vermitteln	convey, give
anrühren	touch
verdrehen	twist
unzählig	countless; innumerably
eingreifen	intervene
versteckt	hidden; covertly
Chinese	Chinese
absehen	predict
Kandidat	candidate
Schurke	villain
kopieren	copy
Aufsatz	essay
Reinheit	purity
Lücke	gap
chemisch	chemical; chemically
Kardinal	cardinal
sechster	sixth
abweisen	reject
global	global; globally
Syndrom	syndrome
Evakuierung	evacuation
flüchten	escape
Versuch	attempt
Justiz	justice
Erlösung	salvation
hinab	down
Geiger	violinist
Schöpfung	creation
stürmen	storm
ausliefern	deliver, extradite
Unteroffizier	sergeant
Deckel	lid
endlos	endless; endlessly
vielmehr	rather, just
Arabien	Arabia
wissenschaftlich	scientific; academically
verschweigen	conceal
Bücherei	library
Gefangenschaft	captivity
Sonde	probe
zustoßen	happen to
ernennen	appoint
Luftwaffe	air force
rührend	touching
hiervon	thereof
Business	business
Türkei	Turkey
Ski	ski
Notwehr	selfdefense
vermisst	missing, lost
Aufsicht	supervision
kleben	glue, stick
Elektrizität	electricity
Sauce	sauce
Leichnam	body, corpse
Alarmstufe	alert level
ungestört	undisturbed
begabt	gifted
Gebieter	master (fml)
sonderbar	weird; weirdly
unterschätzen	underestimate
predigen	preach
Rezeption	reception
schneien	snow
plagen	plague
einmalig	unique; uniquely
Glückstag	lucky day
Kooperation	cooperation
Automobil	automobile
intakt	intact
Papagei	parrot
Tonne	ton
Buchhaltung	accounting
Schlauch	tube
abfeuern	fire
Auszeit	time off, timeout
kritisch	critical; critically
Veranstaltung	event
jugendlich	youthful
Tournee	tour
lautlos	silent; silently
piepsen	beep; beeping
Kick	kick
Strick	rope
veranstalten	organize, hold
ausstatten	equip, provide
schonen	spare; take it easy
gefälscht	forged
Teich	pond
einholen	obtain, catch up
verwirren	confuse
Arbeitszimmer	study
ähneln	be similar
Basketball	basketball
bearbeiten	edit, process
niederschlagen	knock down; be reflected
spontan	spontaneously; spontaneous
bitter	bitter, bitterly
kassieren	collect
Niete	loser (coll), rivet
westlich	west
Sauerei	mess
Angewohnheit	habit
Berechnung	calculation, charge
Prophezeiung	prophecy
beängstigend	daunting
fertigmachen	finish; get ready
Absturz	crash
Architekt	architect
Hort	haven (fml)
blühen	bloom
verwöhnen	spoil
Staffel	relay, season
errichten	establish
beklagen	complain
zäh	tough; tenaciously
entzücken	delight
Depression	depression
blutig	bloody
tippen	type
Zimmerservice	room service
passend	suitable; suitably
aufführen	perform, list
basta	period
Ablenkung	distraction
Nummernschild	license plate
Insekt	insect
Nuss	nut
Asyl	asylum
Datei	file
verdoppeln	double
Regal	shelf
Lump	rascal
Nachschub	supplies
benachrichtigen	notify
fleißig	hardworking; studiously
allerseits	everybody
Schließfach	locker
unglücklicherweise	unfortunately
Frost	frost
Konsul	consul
binden	bind
lästig	annoying; inconveniently
Enkelin	granddaughter
Klippe	cliff
hinzufügen	add
verbrauchen	consume
Wettkampf	competition
Lunch	lunch
Waffenstillstand	truce
schmelzen	melt
Grausamkeit	cruelty
Entschluss	decision
erben	inherit
Schweinefleisch	pork
Filmstar	movie star
überschreiten	exceed, cross
Angehörige	relative, member
verbünden	join forces
Geschick	skill, fate (fml)
verfügen	have available
hebräisch	Hebrew
Vereinigung	association
Region	region
bohren	drill
Diskette	(floppy) disk
Lebensunterhalt	livelihood, living
hierbei	in this connection
schalen	peel
Garde	guard
provozieren	provoke
reduzieren	reduce
Heimweg	way home
fix	fixed; quickly (coll)
belassen	leave
aufsteigen	climb
insbesondere	in particular
Fund	find, finding
Bedienung	operation, service
Frucht	fruit
bestechen	bribe
Komplize	accomplice
betrinken	get drunk
analysieren	analyze
einhalten	comply with
gedruckt	printed
Überdosis	overdose
speisen	dine
unentschieden	undecided, tie
Abgang	slope
talentiert	talented
bombardieren	bomb
beschleunigen	accelerate
Autoschlüssel	car key
Management	management
Rest	rest
buchstäblich	literally; literal
Täuschung	deception
Leichenschauhaus	morgue
Gummi	rubber
Zeugnis	certificate, testimony
Heilung	healing
Vergeltung	retribution
Pub	pub
vorfallen	happen to
Würfel	cube, dice
aufwärts	up
schriftlich	in writing; written
startklar	ready to go
Archiv	archive
Ära	era
Schauspiel	play
verstopfen	clog; congest
Tätowierung	tattoo
Standort	location
künstlich	artificially; artificial
selig	blessed
Kapital	capital
Wiener	from Vienna; wiener
Umhang	cloak
Raubüberfall	robbery
(he)reinlassen	let in
räuspern	clear one's throat
einführen	introduce
Dimension	dimension
geschlossen	closed
herb	tart
Studie	study
befördern	promote
einlassen	let in, admit
ansetzen	schedule
Verwendung	use
Metzger	butcher
aufgehen	rise
Neid	envy
Notarzt	emergency (doctor)
(he)rangehen	approach
willens	willing (fml)
borgen	lend, borrow
strömen	stream
Yen	yen
diskret	discrete; discreetly
Verwaltung	management
Defekt	defect; faulty
Spruch	saying
angeblich	allegedly; alleged
Meisterschaft	championship
Unsterblichkeit	immortality
sicherstellen	ensure
Substanz	substance
kippen	tilt
Territorium	territory
sichergehen	be sure
entfliehen	escape
begleichen	settle, pay
sündigen	sin
kaiserlich	imperial
betäuben	stun
Gabel	fork
abheben	take off
schlank	slim
schwindlig	dizzy
jeweils	at a time
Rauschen	noise; rustle
unwohl	unwell
Absatz	paragraph
(he)runterkommen	come down
Eskorte	escort
hinsehen	look
Portion	portion
schlicht	simple; unpretentiously
aufklären	clarify
Begehren	desire
Elefant	elephant
förmlich	formally; formal
Gehirn	brain
raffiniert	subtle; artfully
frieren	freeze
Heck	stern
stattgeben	grant
imstande	able
östlich	east; to the east
mitbekommen	get
Ermittler	investigator
Geschütz	gun
ausmessen	measure
Antenne	antenna
Kommando	command
Prophet	prophet
religiös	religious; religiously
Kappe	cap
Söldner	mercenary
verrecken	die (coll)
(he)rausbringen	release
Vorschuss	advance
alias	alias
beunruhigen	worry
Kategorie	category
bislang	so far
Forscher	researcher
